"ko","kodesc"
"국회운영위원회","http://steering.na.go.kr"
"법제사법위원회","http://legislation.na.go.kr"
"정무위원회","http://policy.na.go.kr"
"기획재정위원회","http://finance.na.go.kr"
"미래창조과학방송통신위원회","http://future.na.go.kr"
"교육문화체육관광위원회","http://educulture.na.go.kr"
"외교통일위원회","http://uft.na.go.kr"
"국방위원회","http://defense.na.go.kr"
"안전행정위원회","http://adminhom.na.go.kr"
"농림축산식품해양수산위원회","http://agri.na.go.kr"
"산업통상자원위원회","http://industry.na.go.kr"
"보건복지위원회","http://health.na.go.kr"
"환경노동위원회","http://environment.na.go.kr"
"국토교통위원회","http://ltc.na.go.kr"
"정보위원회","http://intelligence.na.go.kr"
"여성가족위원회","http://women.na.go.kr"
"예산결산특별위원회","http://budget.na.go.kr"
"윤리특별위원회","http://moral.na.go.kr"
