"ko","en","cn","kodesc","endesc"
"공동발의자","cosponsor",,,
"공약","pledge",,,
"구호","slogan",,,
"국회도서관","National Assembly Library",,"http://www.nanet.go.kr/","http://www.nanet.go.kr/english/"
"국회사무처","National Assembly Secretariat",,"http://nas.na.go.kr/","http://nas.na.go.kr/ (Korean only)"
"국회예산정책처","National Assembly Budget Office",,"http://www.nabo.go.kr/","http://korea.nabo.go.kr/"
"국회의원","legislator",,,
"국회의원선거","National Assembly Election",,,
"국회입법조사처","National Assembly Research Service",,,
"기획재정부","Ministry of Strategy and Finance",,"http://www.mosf.go.kr/","http://english.mosf.go.kr/"
"당선자","official",,,
"대통령","president",,,
"대한민국 국회","National Assembly of the Republic of Korea",,"http://www.assembly.go.kr/","http://korea.assembly.go.kr/"
"등록","registration",,,
"무소속","independent",,,
"발의자","sponsor",,,
"보궐선거","by-election",,,
"상임위원회","standing committee","常任委員會",,
"선거","election",,,
"선거통계시스템",,,"http://info.nec.go.kr/","http://info.nec.go.kr/ (Korean only)"
"세계법률정보망","Global Legal Information Network",,"http://www.nanet.go.kr/glin/","http://www.nanet.go.kr/glin/ (Korean only)"
"시장","mayor",,,
"영상회의록시스템","VOD service for conferences",,"http://w3.assembly.go.kr/","http://w3.assembly.go.kr/ (Korean only)"
"예비후보자","preliminary candidate",,,
"예산결산특별위원회","Special Committee on Budget and Accounts",,,
"위원회","committee",,,
"의안 원문","text of legislation",,,
"인물","person",,,
"재외선거","overseas voting",,,
"전국동시지방선거","Nationwide Local Election",,,
"정당","party",,,
"중앙선거관리위원회","National Election Commission",,"http://www.nec.go.kr/","http://www.nec.go.kr/engvote/main/main.jsp"
"취임","inauguration",,,
"특별위원회","special committee",,,
"행정안전부","Ministry of Public Administration and Security",,"http://www.mopas.go.kr/","http://www.mopas.go.kr/gpms/ns/mogaha/user/nolayout/main/english/userEngMainDisplay.action"
"회의록","minute",,,
"후보자","candidate",,,
"AAPP(평화를위한아시아의회연합)","",,"http://en.wikipedia.org/wiki/Association_of_Asian_Parliaments_for_Peace","http://en.wikipedia.org/wiki/Association_of_Asian_Parliaments_for_Peace"
